ID,Country,Year,Series,Value
4,Afghanistan,2005,Consumer price index: General,71.10
4,Afghanistan,2010,Consumer price index: General,100.00
4,Afghanistan,2014,Consumer price index: General,133.10
4,Afghanistan,2015,Consumer price index: General,132.10
4,Afghanistan,2016,Consumer price index: General,137.90
4,Afghanistan,2017,Consumer price index: General,144.80
4,Afghanistan,2014,Consumer price index: Food,101.70
4,Afghanistan,2015,Consumer price index: Food,100.80
4,Afghanistan,2016,Consumer price index: Food,106.50
4,Afghanistan,2017,Consumer price index: Food,113.90
8,Albania,1995,Consumer price index: General,40.70
8,Albania,2005,Consumer price index: General,86.70
8,Albania,2010,Consumer price index: General,100.00
8,Albania,2014,Consumer price index: General,109.30
8,Albania,2015,Consumer price index: General,111.40
8,Albania,2016,Consumer price index: General,112.80
8,Albania,2017,Consumer price index: General,115.10
8,Albania,2005,Consumer price index: Food,82.80
8,Albania,2010,Consumer price index: Food,100.00
8,Albania,2014,Consumer price index: Food,113.80
8,Albania,2015,Consumer price index: Food,118.80
8,Albania,2016,Consumer price index: Food,122.60
8,Albania,2017,Consumer price index: Food,127.30
12,Algeria,1995,Consumer price index: General,51.90
12,Algeria,2005,Consumer price index: General,81.80
12,Algeria,2010,Consumer price index: General,100.00
12,Algeria,2014,Consumer price index: General,120.90
12,Algeria,2015,Consumer price index: General,126.70
12,Algeria,2016,Consumer price index: General,134.80
12,Algeria,2017,Consumer price index: General,142.40
12,Algeria,2010,Consumer price index: Food,100.00
12,Algeria,2014,Consumer price index: Food,125.40
12,Algeria,2015,Consumer price index: Food,131.30
12,Algeria,2016,Consumer price index: Food,135.70
12,Algeria,2017,Consumer price index: Food,142.50
20,Andorra,2005,Consumer price index: General,89.60
20,Andorra,2010,Consumer price index: General,100.00
20,Andorra,2014,Consumer price index: General,104.40
20,Andorra,2015,Consumer price index: General,103.30
20,Andorra,2016,Consumer price index: General,102.80
20,Andorra,2017,Consumer price index: General,105.50
20,Andorra,2005,Consumer price index: Food,92.00
20,Andorra,2010,Consumer price index: Food,100.00
20,Andorra,2014,Consumer price index: Food,106.40
20,Andorra,2015,Consumer price index: Food,108.20
20,Andorra,2016,Consumer price index: Food,109.10
20,Andorra,2017,Consumer price index: Food,112.30
24,Angola,1995,Consumer price index: General,0.00
24,Angola,2005,Consumer price index: General,53.70
24,Angola,2010,Consumer price index: General,100.00
24,Angola,2014,Consumer price index: General,146.00
24,Angola,2015,Consumer price index: General,161.10
24,Angola,2016,Consumer price index: General,213.20
24,Angola,2017,Consumer price index: General,280.80
24,Angola,2005,Consumer price index: Food,45.50
24,Angola,2010,Consumer price index: Food,100.00
24,Angola,2014,Consumer price index: Food,153.00
24,Angola,2015,Consumer price index: Food,167.30
24,Angola,2016,Consumer price index: Food,222.60
24,Angola,2017,Consumer price index: Food,286.60
660,Anguilla,1995,Consumer price index: General,61.00
660,Anguilla,2005,Consumer price index: General,81.90
660,Anguilla,2010,Consumer price index: General,100.00
660,Anguilla,2014,Consumer price index: General,106.10
660,Anguilla,2015,Consumer price index: General,105.10
660,Anguilla,2016,Consumer price index: General,104.50
660,Anguilla,2010,Consumer price index: Food,100.00
660,Anguilla,2014,Consumer price index: Food,112.10
660,Anguilla,2015,Consumer price index: Food,111.40
660,Anguilla,2016,Consumer price index: Food,111.00
660,Anguilla,2017,Consumer price index: Food,112.30
28,Antigua and Barbuda,2005,Consumer price index: General,89.50
28,Antigua and Barbuda,2010,Consumer price index: General,100.00
28,Antigua and Barbuda,2014,Consumer price index: General,109.30
28,Antigua and Barbuda,2015,Consumer price index: General,110.30
28,Antigua and Barbuda,2016,Consumer price index: General,109.80
28,Antigua and Barbuda,2017,Consumer price index: General,112.50
32,Argentina,2017,Consumer price index: General,112.90
32,Argentina,2017,Consumer price index: Food,111.70
51,Armenia,1995,Consumer price index: General,44.30
51,Armenia,2005,Consumer price index: General,76.40
51,Armenia,2010,Consumer price index: General,100.00
51,Armenia,2014,Consumer price index: General,120.30
51,Armenia,2015,Consumer price index: General,124.80
51,Armenia,2016,Consumer price index: General,123.00
51,Armenia,2017,Consumer price index: General,124.20
51,Armenia,2010,Consumer price index: Food,100.00
51,Armenia,2014,Consumer price index: Food,123.30
51,Armenia,2015,Consumer price index: Food,127.10
51,Armenia,2016,Consumer price index: Food,122.90
51,Armenia,2017,Consumer price index: Food,127.90
533,Aruba,1995,Consumer price index: General,62.50
533,Aruba,2005,Consumer price index: General,84.10
533,Aruba,2010,Consumer price index: General,100.00
533,Aruba,2014,Consumer price index: General,102.90
533,Aruba,2015,Consumer price index: General,103.40
533,Aruba,2016,Consumer price index: General,102.50
533,Aruba,2017,Consumer price index: General,102.00
533,Aruba,2005,Consumer price index: Food,73.60
533,Aruba,2010,Consumer price index: Food,100.00
533,Aruba,2014,Consumer price index: Food,109.60
533,Aruba,2015,Consumer price index: Food,111.90
533,Aruba,2016,Consumer price index: Food,111.80
533,Aruba,2017,Consumer price index: Food,112.50
36,Australia,1995,Consumer price index: General,67.60
36,Australia,2005,Consumer price index: General,86.30
36,Australia,2010,Consumer price index: General,100.00
36,Australia,2014,Consumer price index: General,110.40
36,Australia,2015,Consumer price index: General,112.00
36,Australia,2016,Consumer price index: General,113.50
36,Australia,2017,Consumer price index: General,115.70
36,Australia,2010,Consumer price index: Food,100.00
36,Australia,2014,Consumer price index: Food,106.60
36,Australia,2015,Consumer price index: Food,107.60
36,Australia,2016,Consumer price index: Food,108.40
36,Australia,2017,Consumer price index: Food,109.20
40,Austria,1995,Consumer price index: General,77.10
40,Austria,2005,Consumer price index: General,91.40
40,Austria,2010,Consumer price index: General,100.00
40,Austria,2014,Consumer price index: General,109.70
40,Austria,2015,Consumer price index: General,110.70
40,Austria,2016,Consumer price index: General,111.70
40,Austria,2017,Consumer price index: General,114.00
40,Austria,1995,Consumer price index: Food,76.40
40,Austria,2005,Consumer price index: Food,88.10
40,Austria,2010,Consumer price index: Food,100.00
40,Austria,2014,Consumer price index: Food,113.50
40,Austria,2015,Consumer price index: Food,114.40
40,Austria,2016,Consumer price index: Food,115.20
40,Austria,2017,Consumer price index: Food,118.00
31,Azerbaijan,1995,Consumer price index: General,42.70
31,Azerbaijan,2005,Consumer price index: General,61.10
31,Azerbaijan,2010,Consumer price index: General,100.00
31,Azerbaijan,2014,Consumer price index: General,113.20
31,Azerbaijan,2015,Consumer price index: General,117.70
31,Azerbaijan,2016,Consumer price index: General,132.40
31,Azerbaijan,2017,Consumer price index: General,149.50
31,Azerbaijan,2010,Consumer price index: Food,100.00
31,Azerbaijan,2014,Consumer price index: Food,113.70
31,Azerbaijan,2015,Consumer price index: Food,119.60
31,Azerbaijan,2016,Consumer price index: Food,136.20
31,Azerbaijan,2017,Consumer price index: Food,159.80
44,Bahamas,1995,Consumer price index: General,75.30
44,Bahamas,2005,Consumer price index: General,88.20
44,Bahamas,2010,Consumer price index: General,100.00
44,Bahamas,2014,Consumer price index: General,107.60
44,Bahamas,2015,Consumer price index: General,109.60
44,Bahamas,2016,Consumer price index: General,109.20
44,Bahamas,2017,Consumer price index: General,110.90
44,Bahamas,2014,Consumer price index: Food,100.70
44,Bahamas,2015,Consumer price index: Food,106.50
48,Bahrain,1995,Consumer price index: General,83.80
48,Bahrain,2005,Consumer price index: General,87.50
48,Bahrain,2010,Consumer price index: General,100.00
48,Bahrain,2014,Consumer price index: General,108.60
48,Bahrain,2015,Consumer price index: General,110.60
48,Bahrain,2016,Consumer price index: General,113.70
48,Bahrain,2017,Consumer price index: General,115.20
48,Bahrain,2010,Consumer price index: Food,100.00
48,Bahrain,2014,Consumer price index: Food,111.70
48,Bahrain,2015,Consumer price index: Food,114.50
48,Bahrain,2016,Consumer price index: Food,115.90
48,Bahrain,2017,Consumer price index: Food,117.10
50,Bangladesh,1995,Consumer price index: General,42.50
50,Bangladesh,2005,Consumer price index: General,69.20
50,Bangladesh,2010,Consumer price index: General,100.00
50,Bangladesh,2014,Consumer price index: General,136.10
50,Bangladesh,2015,Consumer price index: General,144.50
50,Bangladesh,2016,Consumer price index: General,152.30
50,Bangladesh,2017,Consumer price index: General,161.10
50,Bangladesh,2016,Consumer price index: Food,239.10
50,Bangladesh,2017,Consumer price index: Food,257.90
52,Barbados,2010,Consumer price index: General,100.00
52,Barbados,2014,Consumer price index: General,169.40
52,Barbados,2015,Consumer price index: General,167.60
52,Barbados,2016,Consumer price index: General,169.70
52,Barbados,2017,Consumer price index: General,177.60
52,Barbados,2014,Consumer price index: Food,195.40
52,Barbados,2015,Consumer price index: Food,200.70
52,Barbados,2016,Consumer price index: Food,217.50
52,Barbados,2017,Consumer price index: Food,230.90
112,Belarus,1995,Consumer price index: General,0.40
112,Belarus,2005,Consumer price index: General,61.70
112,Belarus,2010,Consumer price index: General,100.00
112,Belarus,2014,Consumer price index: General,340.90
112,Belarus,2015,Consumer price index: General,387.00
112,Belarus,2016,Consumer price index: General,433.10
112,Belarus,2017,Consumer price index: General,459.00
112,Belarus,2010,Consumer price index: Food,100.00
112,Belarus,2014,Consumer price index: Food,367.10
112,Belarus,2015,Consumer price index: Food,389.90
112,Belarus,2016,Consumer price index: Food,424.10
56,Belgium,1995,Consumer price index: General,75.00
56,Belgium,2005,Consumer price index: General,90.40
56,Belgium,2010,Consumer price index: General,100.00
56,Belgium,2014,Consumer price index: General,108.00
56,Belgium,2015,Consumer price index: General,108.60
56,Belgium,2016,Consumer price index: General,110.80
56,Belgium,2017,Consumer price index: General,112.80
56,Belgium,1995,Consumer price index: Food,71.90
56,Belgium,2005,Consumer price index: Food,86.30
56,Belgium,2010,Consumer price index: Food,100.00
56,Belgium,2014,Consumer price index: Food,109.10
56,Belgium,2015,Consumer price index: Food,110.40
56,Belgium,2016,Consumer price index: Food,112.90
56,Belgium,2017,Consumer price index: Food,114.30
84,Belize,1995,Consumer price index: General,73.50
84,Belize,2005,Consumer price index: General,88.30
84,Belize,2010,Consumer price index: General,100.00
84,Belize,2014,Consumer price index: General,104.70
84,Belize,2015,Consumer price index: General,103.80
84,Belize,2016,Consumer price index: General,104.50
84,Belize,2017,Consumer price index: General,105.70
84,Belize,1995,Consumer price index: Food,74.00
84,Belize,2005,Consumer price index: Food,82.70
84,Belize,2010,Consumer price index: Food,100.00
84,Belize,2014,Consumer price index: Food,105.20
84,Belize,2015,Consumer price index: Food,104.80
84,Belize,2016,Consumer price index: Food,104.80
84,Belize,2017,Consumer price index: Food,103.60
204,Benin,1995,Consumer price index: General,61.10
204,Benin,2005,Consumer price index: General,84.30
204,Benin,2010,Consumer price index: General,100.00
204,Benin,2014,Consumer price index: General,109.50
204,Benin,2015,Consumer price index: General,109.80
204,Benin,2016,Consumer price index: General,108.90
204,Benin,2017,Consumer price index: General,109.00
204,Benin,2010,Consumer price index: Food,100.00
204,Benin,2014,Consumer price index: Food,112.60
204,Benin,2015,Consumer price index: Food,113.00
204,Benin,2016,Consumer price index: Food,112.50
204,Benin,2017,Consumer price index: Food,112.50
60,Bermuda,2014,Consumer price index: General,148.00
60,Bermuda,2014,Consumer price index: Food,151.40
64,Bhutan,1995,Consumer price index: General,56.70
64,Bhutan,2005,Consumer price index: General,74.80
64,Bhutan,2010,Consumer price index: General,100.00
64,Bhutan,2014,Consumer price index: General,139.90
64,Bhutan,2015,Consumer price index: General,146.20
64,Bhutan,2016,Consumer price index: General,152.50
64,Bhutan,2017,Consumer price index: General,158.40
64,Bhutan,2014,Consumer price index: Food,117.70
64,Bhutan,2015,Consumer price index: Food,121.50
