ID,Country,Year,Series,Value
4,Afghanistan,1985,GDP in current prices (millions of US dollars),3322
4,Afghanistan,1995,GDP in current prices (millions of US dollars),3236
4,Afghanistan,2005,GDP in current prices (millions of US dollars),6622
4,Afghanistan,2010,GDP in current prices (millions of US dollars),16078
4,Afghanistan,2015,GDP in current prices (millions of US dollars),20608
4,Afghanistan,2016,GDP in current prices (millions of US dollars),20235
4,Afghanistan,2017,GDP in current prices (millions of US dollars),21993
4,Afghanistan,1985,GDP per capita (US dollars),282
4,Afghanistan,1995,GDP per capita (US dollars),189
4,Afghanistan,2005,GDP per capita (US dollars),264
4,Afghanistan,2010,GDP per capita (US dollars),558
4,Afghanistan,2015,GDP per capita (US dollars),611
4,Afghanistan,2016,GDP per capita (US dollars),584
4,Afghanistan,2017,GDP per capita (US dollars),619
4,Afghanistan,1985,GDP in constant 2010 prices (millions of US dollars),11604
4,Afghanistan,1995,GDP in constant 2010 prices (millions of US dollars),7011
4,Afghanistan,2005,GDP in constant 2010 prices (millions of US dollars),10244
4,Afghanistan,2010,GDP in constant 2010 prices (millions of US dollars),16078
4,Afghanistan,2015,GDP in constant 2010 prices (millions of US dollars),20890
4,Afghanistan,2016,GDP in constant 2010 prices (millions of US dollars),21634
4,Afghanistan,2017,GDP in constant 2010 prices (millions of US dollars),22175
4,Afghanistan,1985,GDP real rates of growth (percent),0.3
4,Afghanistan,1995,GDP real rates of growth (percent),49.9
4,Afghanistan,2005,GDP real rates of growth (percent),9.9
4,Afghanistan,2010,GDP real rates of growth (percent),3.2
4,Afghanistan,2015,GDP real rates of growth (percent),-1.8
4,Afghanistan,2016,GDP real rates of growth (percent),3.6
4,Afghanistan,2017,GDP real rates of growth (percent),2.5
8,Albania,1985,GDP in current prices (millions of US dollars),2324
8,Albania,1995,GDP in current prices (millions of US dollars),2393
8,Albania,2005,GDP in current prices (millions of US dollars),8052
8,Albania,2010,GDP in current prices (millions of US dollars),11927
8,Albania,2015,GDP in current prices (millions of US dollars),11387
8,Albania,2016,GDP in current prices (millions of US dollars),11884
8,Albania,2017,GDP in current prices (millions of US dollars),13039
8,Albania,1985,GDP per capita (US dollars),783
8,Albania,1995,GDP per capita (US dollars),770
8,Albania,2005,GDP per capita (US dollars),2615
8,Albania,2010,GDP per capita (US dollars),4056
8,Albania,2015,GDP per capita (US dollars),3895
8,Albania,2016,GDP per capita (US dollars),4061
8,Albania,2017,GDP per capita (US dollars),4450
8,Albania,1985,GDP in constant 2010 prices (millions of US dollars),5911
8,Albania,1995,GDP in constant 2010 prices (millions of US dollars),5424
8,Albania,2005,GDP in constant 2010 prices (millions of US dollars),9222
8,Albania,2010,GDP in constant 2010 prices (millions of US dollars),11927
