ID,Country,Year,Series,Value
16,American Samoa,2000,Labour force participation - Total,52.9
16,American Samoa,2000,Unemployment rate - Total,5.1
16,American Samoa,2000,Labour force participation - Male,58.8
16,American Samoa,2000,Unemployment rate - Male,4.9
16,American Samoa,2000,Labour force participation - Female,41.2
16,American Samoa,2000,Unemployment rate - Female,6
16,American Samoa,2005,Labour force participation - Total,59.9
16,American Samoa,2010,Labour force participation - Total,52.8
16,American Samoa,2010,Unemployment rate - Total,9.2
24,Angola,2005,Labour force participation - Total,77.7
24,Angola,2005,Unemployment rate - Total,21.4
24,Angola,2005,Labour force participation - Male,80.5
24,Angola,2005,Unemployment rate - Male,19.6
24,Angola,2005,Labour force participation - Female,75.1
24,Angola,2005,Unemployment rate - Female,23.2
24,Angola,2010,Labour force participation - Total,77.8
24,Angola,2010,Unemployment rate - Total,9.9
24,Angola,2010,Labour force participation - Male,80.5
24,Angola,2010,Unemployment rate - Male,9.3
24,Angola,2010,Labour force participation - Female,75.3
24,Angola,2010,Unemployment rate - Female,10.4
24,Angola,2015,Labour force participation - Total,77.8
24,Angola,2015,Unemployment rate - Total,7.3
24,Angola,2015,Labour force participation - Male,80.4
24,Angola,2015,Unemployment rate - Male,6.9
24,Angola,2015,Labour force participation - Female,75.5
24,Angola,2015,Unemployment rate - Female,7.6
24,Angola,2019,Labour force participation - Total,77.6
24,Angola,2019,Unemployment rate - Total,8.9
24,Angola,2019,Labour force participation - Male,80
24,Angola,2019,Unemployment rate - Male,8.3
24,Angola,2019,Labour force participation - Female,75.4
24,Angola,2019,Unemployment rate - Female,9.5
660,Anguilla,2002,Labour force participation - Total,72.3
660,Anguilla,2002,Unemployment rate - Total,7.8
660,Anguilla,2002,Labour force participation - Male,77.2
660,Anguilla,2002,Unemployment rate - Male,6.3
660,Anguilla,2002,Labour force participation - Female,67.2
660,Anguilla,2002,Unemployment rate - Female,9.5
28,Antigua and Barbuda,2001,Labour force participation - Total,71.7
28,Antigua and Barbuda,2001,Unemployment rate - Total,8.4
28,Antigua and Barbuda,2001,Labour force participation - Male,78.4
28,Antigua and Barbuda,2001,Unemployment rate - Male,8
28,Antigua and Barbuda,2001,Labour force participation - Female,65.9
28,Antigua and Barbuda,2001,Unemployment rate - Female,8.8
32,Argentina,2005,Labour force participation - Total,62.1
32,Argentina,2005,Unemployment rate - Total,11.5
32,Argentina,2005,Labour force participation - Male,75.6
32,Argentina,2005,Unemployment rate - Male,10.1
32,Argentina,2005,Labour force participation - Female,49.4
32,Argentina,2005,Unemployment rate - Female,13.6
32,Argentina,2010,Labour force participation - Total,60.6
32,Argentina,2010,Unemployment rate - Total,7.7
32,Argentina,2010,Labour force participation - Male,74.3
32,Argentina,2010,Unemployment rate - Male,6.7
32,Argentina,2010,Labour force participation - Female,47.8
32,Argentina,2010,Unemployment rate - Female,9.2
32,Argentina,2015,Labour force participation - Total,60.1
32,Argentina,2015,Unemployment rate - Total,7.2
