ID,Country,Year,Series,Value
4,Afghanistan,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),9.30
4,Afghanistan,2010,All staff compensation as % of total expenditure in public institutions (%),72.40
4,Afghanistan,2010,Capital expenditure as % of total expenditure in public institutions (%),18.30
4,Afghanistan,2010,Expenditure by level of education: primary (as % of government expenditure),62.10
4,Afghanistan,2010,Expenditure by level of education: secondary (as % of government expenditure),26.70
4,Afghanistan,2010,Expenditure by level of education: tertiary (as % of government expenditure),9.00
4,Afghanistan,2010,Public expenditure on education (% of government expenditure),17.10
4,Afghanistan,2010,Public expenditure on education (% of GDP),3.50
4,Afghanistan,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),9.00
4,Afghanistan,2015,All staff compensation as % of total expenditure in public institutions (%),71.40
4,Afghanistan,2015,Capital expenditure as % of total expenditure in public institutions (%),19.60
4,Afghanistan,2015,Expenditure by level of education: primary (as % of government expenditure),56.70
4,Afghanistan,2015,Expenditure by level of education: secondary (as % of government expenditure),24.40
4,Afghanistan,2015,Expenditure by level of education: tertiary (as % of government expenditure),16.00
4,Afghanistan,2015,Public expenditure on education (% of government expenditure),12.50
4,Afghanistan,2015,Public expenditure on education (% of GDP),3.20
8,Albania,2005,Public expenditure on education (% of government expenditure),11.40
8,Albania,2005,Public expenditure on education (% of GDP),3.20
8,Albania,2007,Public expenditure on education (% of government expenditure),11.20
8,Albania,2007,Public expenditure on education (% of GDP),3.30
8,Albania,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),12.50
8,Albania,2015,All staff compensation as % of total expenditure in public institutions (%),79.50
8,Albania,2015,Capital expenditure as % of total expenditure in public institutions (%),8.10
8,Albania,2015,Expenditure by level of education: primary (as % of government expenditure),56.80
8,Albania,2015,Expenditure by level of education: secondary (as % of government expenditure),21.60
8,Albania,2015,Expenditure by level of education: tertiary (as % of government expenditure),21.20
8,Albania,2015,Public expenditure on education (% of government expenditure),11.30
8,Albania,2015,Public expenditure on education (% of GDP),3.50
8,Albania,2017,Expenditure by level of education: primary (as % of government expenditure),60.20
8,Albania,2017,Expenditure by level of education: secondary (as % of government expenditure),18.60
8,Albania,2017,Expenditure by level of education: tertiary (as % of government expenditure),19.50
12,Algeria,2008,Expenditure by level of education: tertiary (as % of government expenditure),27.00
12,Algeria,2008,Public expenditure on education (% of government expenditure),11.40
12,Algeria,2008,Public expenditure on education (% of GDP),4.30
20,Andorra,2005,Expenditure by level of education: pre-primary (as % of government expenditure),16.90
20,Andorra,2005,Expenditure by level of education: primary (as % of government expenditure),24.10
20,Andorra,2005,Expenditure by level of education: secondary (as % of government expenditure),20.60
20,Andorra,2005,Expenditure by level of education: tertiary (as % of government expenditure),3.90
20,Andorra,2005,Public expenditure on education (% of GDP),1.60
20,Andorra,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),30.90
20,Andorra,2010,All staff compensation as % of total expenditure in public institutions (%),36.70
20,Andorra,2010,Capital expenditure as % of total expenditure in public institutions (%),1.70
20,Andorra,2010,Expenditure by level of education: pre-primary (as % of government expenditure),14.60
20,Andorra,2010,Expenditure by level of education: primary (as % of government expenditure),28.90
20,Andorra,2010,Expenditure by level of education: secondary (as % of government expenditure),20.90
20,Andorra,2010,Expenditure by level of education: tertiary (as % of government expenditure),3.90
20,Andorra,2010,Public expenditure on education (% of GDP),3.10
20,Andorra,2016,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),64.10
20,Andorra,2016,All staff compensation as % of total expenditure in public institutions (%),35.10
20,Andorra,2016,Capital expenditure as % of total expenditure in public institutions (%),0.80
20,Andorra,2016,Expenditure by level of education: pre-primary (as % of government expenditure),12.70
20,Andorra,2016,Expenditure by level of education: primary (as % of government expenditure),21.50
20,Andorra,2016,Expenditure by level of education: secondary (as % of government expenditure),24.00
20,Andorra,2016,Expenditure by level of education: tertiary (as % of government expenditure),5.90
20,Andorra,2016,Public expenditure on education (% of government expenditure),9.70
20,Andorra,2016,Public expenditure on education (% of GDP),3.30
24,Angola,2005,Expenditure by level of education: primary (as % of government expenditure),36.50
24,Angola,2005,Expenditure by level of education: secondary (as % of government expenditure),55.20
24,Angola,2005,Expenditure by level of education: tertiary (as % of government expenditure),8.30
24,Angola,2005,Public expenditure on education (% of government expenditure),8.00
24,Angola,2005,Public expenditure on education (% of GDP),2.80
24,Angola,2006,Capital expenditure as % of total expenditure in public institutions (%),24.30
24,Angola,2006,Expenditure by level of education: pre-primary (as % of government expenditure),13.50
24,Angola,2006,Expenditure by level of education: primary (as % of government expenditure),31.40
24,Angola,2006,Expenditure by level of education: secondary (as % of government expenditure),42.40
24,Angola,2006,Expenditure by level of education: tertiary (as % of government expenditure),8.70
24,Angola,2006,Public expenditure on education (% of government expenditure),7.50
24,Angola,2006,Public expenditure on education (% of GDP),2.90
24,Angola,2010,Public expenditure on education (% of government expenditure),8.70
24,Angola,2010,Public expenditure on education (% of GDP),3.50
660,Anguilla,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),6.70
660,Anguilla,2005,All staff compensation as % of total expenditure in public institutions (%),80.90
660,Anguilla,2005,Expenditure by level of education: pre-primary (as % of government expenditure),1.90
660,Anguilla,2005,Expenditure by level of education: primary (as % of government expenditure),28.50
660,Anguilla,2005,Expenditure by level of education: secondary (as % of government expenditure),51.30
660,Anguilla,2005,Expenditure by level of education: tertiary (as % of government expenditure),18.30
660,Anguilla,2008,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),9.80
660,Anguilla,2008,All staff compensation as % of total expenditure in public institutions (%),69.40
660,Anguilla,2008,Capital expenditure as % of total expenditure in public institutions (%),20.80
660,Anguilla,2008,Expenditure by level of education: pre-primary (as % of government expenditure),1.60
660,Anguilla,2008,Expenditure by level of education: primary (as % of government expenditure),39.40
660,Anguilla,2008,Expenditure by level of education: secondary (as % of government expenditure),56.10
660,Anguilla,2008,Expenditure by level of education: tertiary (as % of government expenditure),2.80
660,Anguilla,2008,Public expenditure on education (% of GDP),2.80
28,Antigua and Barbuda,2002,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),25.70
28,Antigua and Barbuda,2002,Capital expenditure as % of total expenditure in public institutions (%),3.90
28,Antigua and Barbuda,2002,Expenditure by level of education: pre-primary (as % of government expenditure),2.10
28,Antigua and Barbuda,2002,Expenditure by level of education: primary (as % of government expenditure),28.60
28,Antigua and Barbuda,2002,Expenditure by level of education: secondary (as % of government expenditure),35.20
28,Antigua and Barbuda,2002,Expenditure by level of education: tertiary (as % of government expenditure),6.70
28,Antigua and Barbuda,2002,Public expenditure on education (% of government expenditure),11.70
28,Antigua and Barbuda,2002,Public expenditure on education (% of GDP),3.40
28,Antigua and Barbuda,2009,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),21.60
28,Antigua and Barbuda,2009,All staff compensation as % of total expenditure in public institutions (%),73.20
28,Antigua and Barbuda,2009,Capital expenditure as % of total expenditure in public institutions (%),5.20
28,Antigua and Barbuda,2009,Expenditure by level of education: pre-primary (as % of government expenditure),0.30
28,Antigua and Barbuda,2009,Expenditure by level of education: primary (as % of government expenditure),41.60
28,Antigua and Barbuda,2009,Expenditure by level of education: secondary (as % of government expenditure),48.40
28,Antigua and Barbuda,2009,Expenditure by level of education: tertiary (as % of government expenditure),7.40
28,Antigua and Barbuda,2009,Public expenditure on education (% of government expenditure),6.90
28,Antigua and Barbuda,2009,Public expenditure on education (% of GDP),2.50
32,Argentina,2004,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),11.60
32,Argentina,2004,All staff compensation as % of total expenditure in public institutions (%),87.60
32,Argentina,2004,Capital expenditure as % of total expenditure in public institutions (%),0.80
32,Argentina,2004,Expenditure by level of education: pre-primary (as % of government expenditure),8.30
32,Argentina,2004,Expenditure by level of education: primary (as % of government expenditure),36.70
32,Argentina,2004,Expenditure by level of education: secondary (as % of government expenditure),37.80
32,Argentina,2004,Expenditure by level of education: tertiary (as % of government expenditure),17.20
32,Argentina,2004,Public expenditure on education (% of government expenditure),15.20
32,Argentina,2004,Public expenditure on education (% of GDP),3.50
32,Argentina,2005,Expenditure by level of education: pre-primary (as % of government expenditure),7.90
32,Argentina,2005,Expenditure by level of education: primary (as % of government expenditure),34.20
32,Argentina,2005,Expenditure by level of education: secondary (as % of government expenditure),41.70
32,Argentina,2005,Expenditure by level of education: tertiary (as % of government expenditure),16.20
32,Argentina,2005,Public expenditure on education (% of government expenditure),15.80
32,Argentina,2005,Public expenditure on education (% of GDP),3.90
32,Argentina,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),9.90
